,burglary,theft plain - petty ($950 & under),battery - simple assault,burglary from vehicle,vehicle - stolen,theft of identity,criminal threats - no weapon displayed,"assault with deadly weapon, aggravated assault",document forgery / stolen felony,"letters, lewd",other miscellaneous crime,"rape, forcible",battery with sexual contact,brandish weapon,"bunco, grand theft",crm agnst chld (13 or under) (14-15 & susp 10 yrs older)0060,threatening phone calls/letters,child annoying (17yrs & under),discharge firearms/shots fired,stalking,num_errors
14447,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
16809,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,17
14503,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,17
14458,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,17
14468,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,17
14428,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,17
14501,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,17
14499,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,17
14497,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,16
14421,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,16
14467,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,16
16801,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,16
14495,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,16
14432,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,16
16800,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,0,15
16799,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,15
16771,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,15
14459,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,15
16764,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,15
14496,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,15
