,TN,FP,FN,TP
burglary,0.0,0.5519997120126714,0.0,0.44800028798732855
theft plain - petty ($950 & under),0.0,0.5855683476568834,0.0,0.4144316523431166
battery - simple assault,0.0,0.6856470177886292,0.0,0.31435298221137076
burglary from vehicle,0.15435298924841023,0.5450366473427484,0.031258778762417956,0.2693515846464234
vehicle - stolen,0.2323040008345939,0.4699546189557144,0.03925199520108497,0.25848938500860674
theft of identity,0.3157706605661996,0.4231484129253646,0.06584215041464112,0.19523877609379467
criminal threats - no weapon displayed,0.521934442338738,0.28588474766617533,0.06520671018460027,0.1269740998104864
"assault with deadly weapon, aggravated assault",0.4731175094303586,0.35307740056343406,0.04261567110729122,0.1311894188989161
document forgery / stolen felony,0.8901601330066503,0.01677896394819741,0.08536051802590129,0.0077003850192509625
"letters, lewd",0.9282948670805303,0.005948389608704116,0.06337738746728386,0.0023793558434816466
other miscellaneous crime,0.9272754828093878,0.01686585260240755,0.05035940071014116,0.005499263878063566
"rape, forcible",0.9437896057270152,0.005060881977636957,0.048056751086791964,0.0030927612085559185
battery with sexual contact,0.9545730517368489,0.004683637625222256,0.0385532763779869,0.0021900342599418883
brandish weapon,0.9414129560814481,0.0010430927700632376,0.0566747071734359,0.0008692439750526979
"bunco, grand theft",0.9366081466747384,0.0009729309002853931,0.06185678457147799,0.000562137853498227
crm agnst chld (13 or under) (14-15 & susp 10 yrs older)0060,0.9836316254226702,0.0015506881178522969,0.014753074454566991,6.461200491051237e-05
threatening phone calls/letters,0.9733614948598031,0.0007327744132416647,0.025690208840707773,0.00021552188624754845
child annoying (17yrs & under),0.9843844231929009,0.00047385198587059535,0.015120186094598087,2.1538726630481607e-05
discharge firearms/shots fired,0.9780551423828925,0.00047425036107697947,0.021341266248464077,0.00012934100756644895
stalking,0.9882297247864351,0.0,0.011770275213564866,0.0
