,burglary,theft plain - petty ($950 & under),battery - simple assault,burglary from vehicle,vehicle - stolen,theft of identity,criminal threats - no weapon displayed,"assault with deadly weapon, aggravated assault",document forgery / stolen felony,"letters, lewd",other miscellaneous crime,"rape, forcible",battery with sexual contact,brandish weapon,"bunco, grand theft",crm agnst chld (13 or under) (14-15 & susp 10 yrs older)0060,threatening phone calls/letters,child annoying (17yrs & under),discharge firearms/shots fired,stalking
burglary,0,24601,26194,22016,20436,18654,14444,16163,4254,2780,2890,2294,1966,2607,2527,674,1063,637,921,445
theft plain - petty ($950 & under),24601,0,25856,21645,20131,18333,13965,15523,4257,2705,2708,2110,1885,2417,2451,632,1059,599,844,424
battery - simple assault,26194,25856,0,22640,20855,18777,14014,15733,4198,2732,2741,2184,1921,2521,2437,679,1062,649,875,445
burglary from vehicle,22016,21645,22640,0,19358,17353,13021,14925,3862,2418,2423,1930,1716,2226,2190,580,922,547,807,384
vehicle - stolen,20436,20131,20855,19358,0,16786,12820,14679,3632,2315,2345,1906,1630,2163,2119,596,909,554,753,395
theft of identity,18654,18333,18777,17353,16786,0,12698,14586,3448,2203,2232,1793,1603,2067,1952,525,820,507,729,357
criminal threats - no weapon displayed,14444,13965,14014,13021,12820,12698,0,12800,2871,1933,2043,1624,1440,1921,1711,511,748,463,682,298
"assault with deadly weapon, aggravated assault",16163,15523,15733,14925,14679,14586,12800,0,3162,2125,2207,1751,1553,2053,1879,564,820,503,732,321
document forgery / stolen felony,4254,4257,4198,3862,3632,3448,2871,3162,0,729,742,520,568,530,656,145,272,125,154,101
"letters, lewd",2780,2705,2732,2418,2315,2203,1933,2125,729,0,593,456,470,474,449,144,203,109,128,85
other miscellaneous crime,2890,2708,2741,2423,2345,2232,2043,2207,742,593,0,590,533,583,451,156,244,134,203,93
"rape, forcible",2294,2110,2184,1930,1906,1793,1624,1751,520,456,590,0,394,426,359,157,178,103,156,62
battery with sexual contact,1966,1885,1921,1716,1630,1603,1440,1553,568,470,533,394,0,391,354,107,169,101,127,57
brandish weapon,2607,2417,2521,2226,2163,2067,1921,2053,530,474,583,426,391,0,386,155,196,111,185,66
"bunco, grand theft",2527,2451,2437,2190,2119,1952,1711,1879,656,449,451,359,354,386,0,104,156,94,105,70
crm agnst chld (13 or under) (14-15 & susp 10 yrs older)0060,674,632,679,580,596,525,511,564,145,144,156,157,107,155,104,0,73,60,75,24
threatening phone calls/letters,1063,1059,1062,922,909,820,748,820,272,203,244,178,169,196,156,73,0,57,55,24
child annoying (17yrs & under),637,599,649,547,554,507,463,503,125,109,134,103,101,111,94,60,57,0,54,11
discharge firearms/shots fired,921,844,875,807,753,729,682,732,154,128,203,156,127,185,105,75,55,54,0,16
stalking,445,424,445,384,395,357,298,321,101,85,93,62,57,66,70,24,24,11,16,0
