,precision,recall,f1,accuracy,macro_avg
burglary,0.010307767595938737,0.03125,0.015502167513183009,0.32984856307003957,0.09672712454479032
theft plain - petty ($950 & under),0.011769736601951368,0.030303030303030304,0.01695437268069891,0.38840130786439514,0.11185711186251893
battery - simple assault,0.013714088378517907,0.02702702702702703,0.01819542904349617,0.5074212700051626,0.1415894536135509
burglary from vehicle,0.05607421334411653,0.062479001674619214,0.050324412918517275,0.4391025641025641,0.15199504800995428
vehicle - stolen,0.06434049715223449,0.0736056777095804,0.06031144270433342,0.4692393736017897,0.1668742477919845
theft of identity,0.059732453485949896,0.06639045628051186,0.05723484834529392,0.5087119256582344,0.17301742094249753
criminal threats - no weapon displayed,0.08093832865518634,0.09369043367406575,0.0802591776134799,0.6029728101875753,0.21446518753257682
"assault with deadly weapon, aggravated assault",0.05936706937359316,0.07047818970937718,0.057116734717401085,0.5752667355016349,0.19055718232550156
document forgery / stolen felony,0.15577002862175013,0.1783511426270516,0.1524142515898185,0.7055154018241266,0.2980127061656867
"letters, lewd",0.17924911821168565,0.2117644806097924,0.16939529907937456,0.7028910686628808,0.31582499164093336
other miscellaneous crime,0.1359375795793449,0.16421065528834053,0.1330631773204858,0.7636594389950094,0.2992177127957952
"rape, forcible",0.1541280108201675,0.18955423933351265,0.14755972798001427,0.7414171399070728,0.30816477951019183
battery with sexual contact,0.13310463893911512,0.1660824095918776,0.12714641088068265,0.7556788848735158,0.29550308607129777
brandish weapon,0.12676663828833332,0.14417059884346026,0.1310011723767866,0.8614911374978489,0.31585738675160724
"bunco, grand theft",0.0993660486618233,0.10678245775043559,0.10108467545009296,0.851402512476338,0.2896589235846725
crm agnst chld (13 or under) (14-15 & susp 10 yrs older)0060,0.14771619407182413,0.18435343446699864,0.14326480893991628,0.8556401652039236,0.3327436506706657
threatening phone calls/letters,0.1505240338366667,0.16905194936722068,0.15179694028607482,0.8946179659266907,0.3414977223541632
child annoying (17yrs & under),0.14732345172212777,0.16678112315647928,0.1467290071530354,0.9072233694716916,0.3420142378758335
discharge firearms/shots fired,0.1515638320495045,0.1731821779977525,0.1539786312220265,0.9123644811564274,0.34777228060642773
stalking,0.2630706187243175,0.257186756041294,0.2590440631677611,0.9824040612631216,0.4404263747991235
Overall,0.11003821740570743,0.12833476207262137,0.10861883754912367,0.687763508862502,0.25868883147248867
