,burglary,theft plain - petty ($950 & under),battery - simple assault,burglary from vehicle,vehicle - stolen,theft of identity,criminal threats - no weapon displayed,"assault with deadly weapon, aggravated assault",document forgery / stolen felony,"letters, lewd",other miscellaneous crime,"rape, forcible",battery with sexual contact,brandish weapon,"bunco, grand theft",crm agnst chld (13 or under) (14-15 & susp 10 yrs older)0060,threatening phone calls/letters,child annoying (17yrs & under),discharge firearms/shots fired,stalking,num_errors
14501,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,17
14591,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,16
14498,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,16
16779,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,16
14487,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,16
16759,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,15
14575,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,15
4478,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,15
16786,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,15
14490,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,15
14421,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,15
14494,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,15
14500,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,15
6276,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,15
16904,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,15
4450,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,15
6262,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,15
14444,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,15
14467,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,15
14468,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,15
