,precision,recall,f1,accuracy,macro_avg
BATTERY - SIMPLE ASSAULT,0.037594709004239155,0.03543422250821268,0.016897619617835927,0.25654684632257485,0.08661834936321565
VEHICLE - STOLEN,0.08441694410385883,0.0948878879843454,0.07731917148856368,0.46259904203411073,0.17980576140271967
BURGLARY FROM VEHICLE,0.05588904718305525,0.06213644052022145,0.05048867636231078,0.44766999418058107,0.15404603956154214
BURGLARY,0.09377486674967371,0.10483126616296784,0.09114449252557934,0.4832355969380903,0.1932465555940778
THEFT PLAIN - PETTY ($950 & UNDER),0.05025969151789092,0.05330641394646023,0.039135583364151086,0.40601638390259187,0.13717951818277352
THEFT OF IDENTITY,0.05859707212497432,0.06464159769502485,0.058699992243187324,0.549912708715699,0.18296284269472135
INTIMATE PARTNER - SIMPLE ASSAULT,0.09372109243111475,0.10766261432647872,0.09247209809806978,0.5730784726263486,0.21673356937050298
"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0.09179362344882495,0.10331761064802851,0.09669070714420974,0.6385469358520972,0.2325872192732901
VANDALISM - MISDEAMEANOR ($399 OR UNDER),0.10436959057673727,0.11693844726361391,0.10762770681312124,0.6767760418998164,0.25142794663832224
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0.05618008663247124,0.06649606429394972,0.05671996668850267,0.6400017905904472,0.2048494770513427
THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0.13634167984370793,0.14285493845548897,0.1379529462276426,0.6883029679036662,0.2763631331076264
ROBBERY,0.07121789953849941,0.08351080035753256,0.07086418280260148,0.6422176462688571,0.21695263224187264
"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",0.10027580907829498,0.10600906369434289,0.10268481796296246,0.7444155960427951,0.2633463216945988
CRIMINAL THREATS - NO WEAPON DISPLAYED,0.14497197967502506,0.15352404989202617,0.14880595494865353,0.8041317874569139,0.3128584429931547
SHOPLIFTING - PETTY THEFT ($950 & UNDER),0.08162872022896787,0.0962464176832774,0.08469591832359834,0.7796230807108644,0.260548534236677
Overall,0.08406885414248903,0.09278652236213142,0.08214665564073266,0.5862049927630303,0.21130175622709585
