burglary,theft plain - petty ($950 & under),battery - simple assault,burglary from vehicle,vehicle - stolen,theft of identity,criminal threats - no weapon displayed,"assault with deadly weapon, aggravated assault",document forgery / stolen felony,"letters, lewd",other miscellaneous crime,"rape, forcible",battery with sexual contact,brandish weapon,"bunco, grand theft",crm agnst chld (13 or under) (14-15 & susp 10 yrs older)0060,threatening phone calls/letters,child annoying (17yrs & under),discharge firearms/shots fired,stalking,grid_id,week_year,week_number
1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.338_lon-118.33,2010,20
1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.338_lon-118.33,2011,2
1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.338_lon-118.33,2013,22
1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.338_lon-118.33,2014,10
1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2009,53
1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2010,1
1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2010,2
1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2010,3
1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2010,5
1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2010,6
1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2010,7
1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2010,8
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2010,9
1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2010,10
1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2010,11
1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2010,12
1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2010,13
1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2010,14
